initITIstatic,initITIdynamic,participant,date,expName,psychopyVersion,OS,frameRate,inst1.keys,inst1.rt,startPracResp.keys,startPracResp.rt,choice1.keys,choice1.rt,outcome,extraITI,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,riskyGain,riskyLoss,alternative,isi,iti,loc,postPractResp.keys,postPractResp.rt,realloc,realChoice.keys,realChoice.rt,outcomes,choices,actualITI,init ITI,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,staticRDM.ran,riskyoption1,riskyoption2,safeoption,ischecktrial,dynamicChoiceSetName,dynamicChoiceSetPath,bestRho,bestMu,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp.keys,key_resp.rt,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,dynamicRDM.ran,choiceP,easy0difficult1,stopBreak.keys,stopBreak.rt,movealong.keys,movealong.rt,startPractice.keys,startPractice.rt,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,trialFSPractice.ran,digitSpanForward,digits,digitsReverse,digitSpanReverse,digitsReverseCorrAnswer,startFSreal.keys,startFSreal.rt,digitsForTrial,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,trialsFS.ran,trialNumber,moveToBS.keys,moveToBS.rt,startBSprac.keys,startBSprac.rt,textboxPractice_2.text,mousePractice_2.x,mousePractice_2.y,mousePractice_2.leftButton,mousePractice_2.midButton,mousePractice_2.rightButton,mousePractice_2.clicked_name,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,trialsPracticeBS.ran,startBSreal.keys,startBSreal.rt,digitLoopBS.thisRepN,digitLoopBS.thisTrialN,digitLoopBS.thisN,digitLoopBS.thisIndex,digitLoopBS.ran,textboxBS.text,mouseBS.x,mouseBS.y,mouseBS.leftButton,mouseBS.midButton,mouseBS.rightButton,mouseBS.clicked_name,trialsBS.thisRepN,trialsBS.thisTrialN,trialsBS.thisN,trialsBS.thisIndex,trialsBS.ran
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,1,4,9,8,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,1,4,9,8,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,1,4,9,8,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,1,4,9,8,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,1,4,9,8,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,1,4,9,8,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,598471,-0.014814815,-0.400925926,1,0,0,cont_buttonBS,0,4,4,4,1
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,1,3,6,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,1,3,6,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,1,3,6,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,1,3,6,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,1,3,6,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,1,3,6,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,963124,-0.014814815,-0.400925926,1,0,0,cont_buttonBS,0,5,5,5,1
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,3,9,1,2,5,4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,3,9,1,2,5,4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,3,9,1,2,5,4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,3,9,1,2,5,4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,3,9,1,2,5,4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,3,9,1,2,5,4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7,3,9,1,2,5,4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,4259137,-0.014814815,-0.400925926,1,0,0,cont_buttonBS,0,6,6,6,1
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,1,9,8,4,2,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,1,9,8,4,2,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,1,9,8,4,2,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,1,9,8,4,2,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,1,9,8,4,2,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,1,9,8,4,2,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3,1,9,8,4,2,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,5248913,-0.014814815,-0.400925926,1,0,0,cont_buttonBS,0,7,7,7,1
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,1,4,5,7,6,9,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,1,4,5,7,6,9,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,1,4,5,7,6,9,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,1,4,5,7,6,9,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,1,4,5,7,6,9,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,1,4,5,7,6,9,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,1,4,5,7,6,9,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,1,4,5,7,6,9,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,29674158,-0.014814815,-0.400925926,1,0,0,cont_buttonBS,0,8,8,8,1
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,4,7,3,2,9,5,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,4,7,3,2,9,5,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,4,7,3,2,9,5,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,4,7,3,2,9,5,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,4,7,3,2,9,5,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,4,7,3,2,9,5,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,4,7,3,2,9,5,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[8,4,7,3,2,9,5,1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,15923748,-0.014814815,-0.400925926,1,0,0,cont_buttonBS,0,9,9,9,1
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,9,3,8,7,1,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,9,3,8,7,1,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,9,3,8,7,1,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,9,3,8,7,1,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,9,3,8,7,1,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,9,3,8,7,1,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,9,3,8,7,1,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,,,,,,,,,,,,
,,5de0b69ba91be311cb773b0b,2022-09-08_09h56.12.123,CGTgamblingSpanTasks,2022.2.1,Win32,59.09816205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4,2,9,3,8,7,1,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,1,,,,,,,,,,,,
